exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	train_s	accuracy	acc_std	n_seeds	delta_vs_best	total_s	job_name	snapshot_path	notes
010	2026-04-28T13:23:54Z	reg	000	008	reg	ModelEMA (decay=0.9990, updated every 5 steps tracking post-lookahead weights) applied at final TTA eval + train_epochs 45→43: EMA smooths late-training weight noise to compensate for 2 fewer epochs.	-0.6	disqualified		0.470900	0.015133	10		26.373200	cif-reg-0003		EMA init from model_trainbias._orig_mod params/buffers. Updated at each lookahead step (every 5 training steps) so EMA tracks post-lookahead smoothed weights. Applied in-place before final evaluate(). 43 epochs saves ~0.9s/seed wallclock; EMA overhead ~0.04s (413 update calls × ~100 lerp_ ops). Net expected Δ ≈ -0.6s if EMA recovers accuracy lost from 2 fewer epochs.
011	2026-04-28T13:31:27Z	opt	008	008	opt	train_epochs 44→43 + lr 11→12: exp_004 (43ep+lr=11) missed gate by 0.0004 (mean_acc=0.9596); +9% lr should bridge gap while saving ~0.55s vs exp_008	-0.55	discard	25.460300	0.960040	0.000988	10	+0.023400	25.460300	cif-opt-0009		exp_004 (43ep, lr=11.0) achieved mean_acc=0.9596, missing the 0.96 gate by only 0.0004. The n=10 mean σ≈0.015%, so the miss is ~2.7σ — genuine but small. Increasing lr from 11→12 (+9%) compensates with a higher effective learning rate, similar to how jumping from lr=9 (45ep, baseline) to lr=11 (44ep, exp_008) recovered accuracy. One fewer epoch saves ~0.55s.
012	2026-04-28T13:33:27Z	aug	007	008	aug	Add within-batch mixup (λ~Uniform[0.5,1.0]) to main training loop + reduce train_epochs 46→45: mixup improves per-epoch generalization to recover the ~0.06% gap at 45 epochs, saving ~0.55s vs exp_007	-0.55	disqualified		0.953050	0.001877	10		26.426200	cif-aug-0011		45 epochs (no intermediate evals, TTA=2 final) + mixup in main training loop after mask selection. Proxy is unmixed (mask generation stays based on clean images). Lambda sampled uniform [0.5,1.0] per batch so primary image always dominates. Need +0.06% over 45-epoch no-evals baseline (95.94%) to clear 96% gate.
013	2026-04-28T13:34:16Z	reg	000	008	reg	ModelEMA (decay=0.9990, every-5-step update tracking post-lookahead weights) + train_epochs 45→43: EMA init moved to AFTER init_whitening_conv so whitening weights are correct in EMA clones.	-0.6	disqualified		0.572620	0.028829	10		26.112700	cif-reg-0011		Bug fix vs exp_010: EMA pairs now cloned after init_whitening_conv (not before). Root cause of 47% acc: stale random whitening weights were accumulated in EMA and overwrote the correct whitening conv at eval time.
014	2026-04-28T13:37:05Z	arch	000	008	arch	Revert proxy widths to baseline (32/64/64) and switch torch.compile mode from max-autotune to reduce-overhead: reduces per-seed JIT compile cost via CUDA graphs instead of kernel benchmarking; all input shapes are static so CUDA graph capture is clean.	-2.0	disqualified		0.959480	0.001037	10		27.160200	cif-arch-0011		max-autotune benchmarks many kernel variants (expensive for small CIFAR conv shapes); reduce-overhead uses CUDA graph capture which amortizes CPU kernel dispatch overhead. With N=10 cold-process seeds, seed 0 pays full JIT compile cost (included in train_s). Compile time savings ~15-40s for seed 0 → ~1.5-4s improvement in 10-seed mean. Math is identical so accuracy preserved. Proxy widths reverted to baseline 32/64/64 (exp_005 edit was in workdir; model_freezebias compile is irrelevant since its switch condition `epoch==144` is never true, so it never materializes).
015	2026-04-28T13:40:10Z	loss	008	008	loss	43 epochs + lr=11 + label-smoothing annealing (0.2→0.0 over last 25% of steps): exp_004 (43ep+lr=11, no loss change) was disqualified at 95.96%; annealing sharpens targets in last ~10 epochs to recover the ~0.04% accuracy gap while saving ~0.57s vs exp_008.	-0.57	disqualified		0.959020	0.000774	10		25.205700	cif-loss-0011		base_smooth=0.2 used for first 75% of steps (via loss_fn with label_smoothing=0.2); last 25% (~10.75 of 43 epochs) linearly reduces smoothing to 0.0 using manual log_softmax CE. Proxy training unchanged (still uses fixed ls=0.2 for mask selection). Prior PolyLoss attempt (exp_009) was built on lr=9 base — this is the first loss-domain change properly rebased from exp_008.
016	2026-04-28T13:48:06Z	reg	000	008	reg	ModelEMA params-only (no BN buffers) decay=0.9990 + train_epochs 43: excludes BN running_mean/var from EMA to avoid zero-initialization contamination that corrupted exp_013.	-0.5	disqualified		0.857290	0.006963	10		26.277600	cif-reg-0015		Root-cause of exp_013 57% acc: BN running stats init at 0, EMA with fixed decay=0.9990 accumulates ~15% weight on the zero initial values. Fix: only EMA parameters (conv weights, BN learned biases), leave BN running_mean/var at their final trained values for eval.
017	2026-04-28T13:48:35Z	aug	008	008	aug	cutout 12→8 + train_epochs 44→43: exp_004 (43ep+lr=11+cutout=12) missed gate by 0.0004; smaller cutout (25% vs 37% pixel masking) gives cleaner gradient signal per example, aiming to close that gap while saving ~0.35s vs exp_008	-0.35	disqualified		0.959220	0.001534	10		25.884900	cif-aug-0015		Rebased from exp_008 (44ep, lr=11, cutout=12). Changes: (1) cutout 12→8 — less aggressive occlusion, model sees ~75% pixels per example vs 63%, potential for faster convergence at 43 epochs; (2) train_epochs 44→43 — saves ~0.35s if acc gate holds; (3) skip even the final non-TTA eval inside training loop (val_acc=None always). Risk: if cutout reduction doesn't compensate for the epoch shortfall, will disqualify like exp_004.
018	2026-04-28T13:51:13Z	opt	008	008	opt	43 epochs + lr=12 + cosine decay (replace linear cooldown with 0.5*(1+cos(π·progress))): cosine keeps lr higher mid-training for better convergence margin above 0.96 gate; 1 fewer epoch than exp_008 should save ~0.35s wall-clock	-0.40	disqualified		0.959410	0.001206	10		25.512100	cif-opt-0016		exp_011 (43ep+lr=12 linear) measured 25.46s (discard) but true mean likely ~25.1s — measurement was within noise. Cosine decay provides slightly higher accuracy than linear at same epoch count (lr stays higher mid-training), reducing disqualification risk while targeting the same ~0.35s epoch saving. Both get_lr functions (proxy + main) changed to cosine. warmup unchanged at 10% ramp 0.2→1.0.
019	2026-04-28T13:57:21Z	arch	008	008	arch	Stage-1 ConvGroup depth 3→2: remove conv3+norm3+residual from block1 (128ch, 15×15 maps) while keeping stages 2/3 at depth=3. Block1 learns low-level features where the extra residual depth is least critical; stages 2/3 (384/512ch) keep full depth for high-level representation. Rebased from exp_008 (44ep, lr=11, skip evals, max-autotune).	-1.0	disqualified		0.959550	0.001582	10		24.808600	cif-arch-0018		Removes one 128×128 3×3 conv + BN + GELU + residual-add per main training step. Over 2112 steps (44ep × 48 steps), this removes ~17B FLOPs/step. ConvGroup already supports depth=2 (used by proxy model). make_net updated to read per-stage 'depths' dict from hyp, falling back to global 'depth' if absent (preserves proxy compatibility).
020	2026-04-28T13:59:42Z	loss	008	008	loss	43 epochs + lr=11 + PolyLoss ε=0.5: exp_004 (43ep+lr=11) missed gate by 0.0004; PolyLoss-1 with conservative ε=0.5 adds gentle hard-example gradient (1-p_t) to bridge the gap without the destabilisation that ε=1.0 caused in exp_009.	-0.35	discard	25.590800	0.960120	0.001159	10	+0.153900	25.590800	cif-loss-0018		exp_009 failure diagnosed as double-hard-mining destabilisation at high ε. Halving to ε=0.5 keeps effective lr increase modest (~50% gradient magnitude boost) while still targeting the 0.0004 accuracy gap. Applied only in main training loop; proxy loss unchanged (CE+LS=0.2) to keep mask selection clean.
021	2026-04-28T14:00:38Z	reg	000	008	reg	Late-start ModelEMA (init at 50% training from well-trained state, decay=0.9990, params-only) + train_epochs 45→43: avoids Dirac/zero init contamination of earlier attempts.	-0.5	disqualified		0.831520	0.025072	10		26.135600	cif-reg-0019		EMA starts at step=50% of total_train_steps (epoch ~21). First update clones current params (well-trained, ~94%+ acc). Then lerp with decay=0.9990^5 for remaining ~206 updates. Starting weight at end: 0.9950^206≈0.36 — 35% from well-trained epoch-21 state, not random. Should recover accuracy lost from 2 fewer epochs.
022	2026-04-28T14:04:05Z	opt	008	008	opt	train_epochs 44→42 + lr 11→14 (linear decay preserved): 2 fewer epochs saves ~0.62s wall-clock; +3lr compensates convergence (pattern from data: 45→44 needed +2lr, 44→43 needed +1lr, so 43→42 needs ~+1–2lr; using +2 for safety margin)	-0.62	disqualified		0.958800	0.001424	10		25.128000	cif-opt-0019		Rebased from exp_008 (44ep+lr=11). Changed only train_epochs 44→42 and lr 11→14. Linear decay schedule unchanged. exp_018 (43ep+cosine) showed cosine hurts accuracy vs linear at 43 epochs; staying with linear. If accuracy holds ≥0.96 at 42 epochs, this is a clear ~2σ+ improvement over exp_008.
023	2026-04-28T14:05:29Z	aug	008	008	aug	cutout 12→16 + train_epochs 44→43: 43ep+cutout=12 missed gate by 0.0004 (exp_004); larger cutout (25% pixel masking vs 14%) forces stronger generalization that may bridge the gap, saving ~0.55s vs current best	-0.55	disqualified		0.952620	0.001507	10		24.957900	cif-aug-0019		Larger cutout (12→16) increases regularization. Hypothesis: stronger occlusion forces model to learn more context-robust features, bridging the 0.0004 accuracy gap at 43 epochs that exp_004 showed. All other settings identical to exp_008.
024	2026-04-28T14:07:17Z	arch	008	008	arch	Stage-1 depth 3→2 + lr 11→12: compensate accuracy loss from shallower block1 with higher LR. exp_019 (same arch, lr=11) disqualified at acc=0.9596 — missed gate by 0.00045. exp_011 (full-depth, 43ep, lr=12) passed gate. This combo: 44ep + lr=12 + stage1 depth=2 should recover accuracy while keeping the ~0.6s wall-clock saving from removing the stage-1 residual conv.	-0.6	disqualified		0.958740	0.000955	10		24.362100	cif-arch-0020		Only lr changed vs exp_019 (11→12). Stage-1 ConvGroup uses depth=2 (no conv3/norm3/residual); stages 2/3 remain at depth=3. Rebased from exp_008.
025	2026-04-28T14:09:26Z	loss	008	008	loss	42 epochs + lr=11 + PolyLoss ε=1.0: exp_020 showed 43ep+PolyLoss ε=0.5 passes gate at acc=0.9601 (+0.0005 buffer); doubling ε to 1.0 and removing 1 more epoch should maintain accuracy while netting ~0.55s saving over exp_008 (2-epoch reduction minus PolyLoss compute overhead).	-0.55	disqualified		0.958680	0.000866	10		25.061900	cif-loss-0022		exp_020 (43ep+PolyLoss ε=0.5) confirmed: PolyLoss at lr=11 helps accuracy unlike at lr=9 (exp_009). acc_std=0.0012 at 43ep gives ~0.0005 buffer. 42ep expected to drop ~0.0004-0.0005 acc; ε=1.0 should add ~0.0005-0.001 vs ε=0.5. PolyLoss overhead ~0.15s; 2-epoch saving ~0.70s; net delta ~-0.55s vs exp_008.
026	2026-04-28T14:13:09Z	reg	000	008	reg	train_epochs 45→43, no EMA: diagnostic to confirm whether 43 epochs alone passes the 96% gate (EMA has been consistently corrupting accuracy in prior attempts).	-0.6	discard	26.156100	0.960140	0.001261	10	+0.719200	26.156100	cif-reg-0023		Pure epoch-reduction test: all EMA code removed. Accuracy result will tell us if 43 epochs alone is sufficient (save ~0.9s) or falls below 96% (requiring EMA to compensate). Prior exp_010/013/016/021 all showed EMA severely hurting accuracy (83-85%), suggesting weight-averaging is counterproductive on top of lookahead.
027	2026-04-28T14:17:16Z	opt	008	008	opt	train_epochs 44→43 + lr 11→13: exp_011 (43ep+lr=12) barely passed gate at ~0.9600; +1lr to 13 gives ~+0.0004 acc headroom above gate while preserving the 1-epoch speed saving	-0.30	disqualified		0.959610	0.001148	10		25.902700	cif-opt-0024		exp_011 (43ep+lr=12) passed acc gate but measured 25.46s (environment variance inflated it; true mean ~25.1s). exp_022 (42ep) confirmed 42ep computes in ~25.1s total. exp_018 showed cosine hurts at 43ep. Going back to linear decay, boosting lr from 12→13 to give more accuracy margin. If environment cooperates, should measure train_s ~25.1s vs best 25.44s.
028	2026-04-28T14:23:21Z	aug	008	008	aug	TTA level 2→1 + cutout 12→14 on 44 epochs: reduce mirror+translate (6 forward passes) to mirror-only (2 passes) at eval, saving ~0.25s; increase cutout from 12→14 to compensate accuracy loss from weaker TTA.	-0.25	disqualified		0.955870	0.001327	10		24.138100	cif-aug-0027		First aug trial on the 44-epoch baseline. TTA=1 removes the translate component of TTA eval, reducing eval compute by 4/6 (from 6 to 2 model forward passes over 10K test images). Cutout 12→14 slightly increases regularization (14% → 19% pixel masking) to provide headroom for the ~0.1% accuracy cost of reducing TTA level.
029	2026-04-28T14:23:46Z	arch	008	008	arch	Stage-3 ConvGroup depth 3→2: removes conv3+norm3+residual from block3 (512ch, 3×3 maps) saving ~5% training FLOPs; block1/block2 unchanged at depth=3. Only block1 depth reduction was tried before (exp_019, disqualified); block3 at 3×3 spatial is less critical spatially.	-0.6	disqualified		0.958990	0.001064	10		25.200500	cif-arch-0027		Block3 operates at 3×3 spatial resolution with 512 channels. Removing conv3+residual eliminates 512×512×3×3×9 FLOPs per image per step. Over 44 epochs×48 steps×~512 images ≈ 69T FLOPs saved (~5%). Block1/2 retain depth=3 for full gradient highways. Proxy unchanged (depth=2 throughout).
030	2026-04-28T14:24:25Z	reg	000	008	reg	train_epochs 43 + eval every 5 epochs (skip 33 of 43 intermediate val_acc calls): ~1.3s wallclock saved since per-epoch eval is logging-only and doesn't affect training.	-1.5	keep	25.225900	0.960030	0.001442	10	-0.211000	25.225900	cif-reg-0027	snapshots/030_reg	exp_026 confirmed 43 epochs alone passes 96% gate (acc=0.9601). Now adding eval-frequency reduction: eval at epochs 0,5,10,15,20,25,30,35,40 + final step = 10 evals instead of 43. Each val_acc call: ~40ms × 33 fewer calls ≈ 1.3s saved. Combined with 43-epoch savings: expected ~24.8s total.
031	2026-04-28T14:25:45Z	loss	008	030	loss	43ep + lr=11 + PolyLoss ε=1.0: exp_020 (43ep+ε=0.5) passed gate at acc=0.9601 but measured 25.59s (within noise of 25.44s best); exp_025 (42ep+ε=1.0) showed ε=1.0 is stable at lr=11 but needs one more epoch; 43ep+ε=1.0 targets more accuracy buffer than ε=0.5 at 43ep, with ~0.5s savings vs 44ep	-0.5	disqualified		0.959870	0.001514	10		26.216500	cif-loss-0027		Missing combination in the tree: both 43ep+ε=0.5 and 42ep+ε=1.0 were tried; 43ep+ε=1.0 was skipped. With ε=1.0 giving stronger hard-example gradient pressure vs ε=0.5, accuracy at 43ep should exceed 0.9601 by a meaningful margin, making the gate more reliable while still saving 1 epoch vs best.
032	2026-04-28T14:28:29Z	opt	008	030	opt	proxy_epochs=10 (vs 44): proxy trains for 10 epochs and masks are cycled across all 44 main training steps — proxy at 10ep is already ~93%+ accurate for hard-example selection; the extra 34 proxy epochs are marginal and cost ~4s wall-clock	-3.5	disqualified		0.953990	0.001741	10		23.101100	cif-opt-0028		Main training stays at 44 epochs (lr=11, linear schedule) — accuracy should be preserved. Proxy training reduced from 44→10 epochs via new proxy_epochs hyp param. masks = cycle(train_proxy(...)) repeats the 490-mask list across 2156 main steps. Expected proxy time: 44/10 * ~5.5s = 1.25s vs ~5.5s before → saves ~4.25s. If accuracy fails, will try proxy_epochs=20.
033	2026-04-28T14:38:42Z	opt	008	030	opt	proxy_epochs=30 (vs 44): reduces mask cycling factor from 4.4x (10ep, acc=0.954) to 1.47x; linear extrapolation predicts acc drop ~0.001 → ~0.960; saves ~1.75s proxy time vs exp_008	-1.75	disqualified		0.957430	0.000747	10		25.425700	cif-opt-0033		exp_032 (proxy_epochs=10, cycle_factor=4.4): acc=0.9540, total_s=23.1s. Accuracy drop 0.007 was too large. Linear model: drop ∝ (cycle_factor-1). At 30ep, factor=1.47: predicted drop=0.007*(0.47/3.4)=0.001 → acc≈0.960. Speed savings: (44-30)/44 × proxy_time ≈ 1.75s. Main training unchanged (44ep, lr=11, linear).
034	2026-04-28T14:40:05Z	reg	030	030	reg	Remove all 43 per-epoch torch.cuda.synchronize() pipeline stalls + 10 remaining intermediate non-TTA evaluate() calls (every-5-epoch): same 43-epoch training, zero logging overhead during loop. Expected ~0.5-0.8s saving vs exp_030.	-0.65	disqualified		0.959370	0.000932	10		25.231200	cif-reg-0033		Training procedure is identical to exp_030 (43 epochs, same optimizer/aug/loss). Changes: removed dead model-switch code (epoch==147 never fired), removed per-epoch starter.record()/ender.record()/synchronize() at all 43 epoch boundaries, removed 10 intermediate non-TTA evaluate() calls (every-5-epoch logging), removed per-epoch print_training_details(). Only the final TTA eval sync is preserved. model.train() set once before loop (never leaves train mode since no intermediate evals). Expected savings: 43 syncs * ~5ms + 10 evals * ~40ms = ~615ms per seed.
035	2026-04-28T14:43:06Z	aug	008	030	aug	CutMix (box=12px, alpha≈0.14) replaces cutout at 43 epochs + lr=12: cutout disabled in data loader, CutMix applied in training loop with mixed-label loss; stronger regularization vs cutout should maintain ≥96% accuracy at 43ep (exp_011 confirmed 43ep+lr=12 passes gate), saving ~0.4s vs exp_008	-0.4	disqualified		0.958260	0.001137	10		25.412800	cif-aug-0033		CutMix is a novel aug-domain change not yet tried. The CutMix box uses the same 12px size as the original cutout, giving area fraction alpha=12^2/32^2≈0.141. Labels from both paired images contribute proportionally. Data loader has cutout=0; CutMix ops (randperm, where, double loss_fn) are in the uncompiled Python training loop so no torch.compile retrace risk. exp_011 (43ep+lr=12) passed gate at ~0.9600 but measured 25.46s — expected true mean ~24.9s. CutMix should provide at least equivalent accuracy to cutout.
036	2026-04-28T14:45:16Z	arch	030	030	arch	Block3 width 512→448 (12.5% reduction): saves ~4% total FLOPs on the largest compute stage (512ch at 3×3 spatial); airbench96_faster already reduced block2 512→384, analogous reduction on block3.	-0.8	disqualified		0.959460	0.000443	10		25.437900	cif-arch-0033		First main-model width trial (all previous arch trials changed depth). Block3 operates at 3×3 resolution with 512ch — removing 64ch saves conv FLOPs at 7×7 (conv1: 384→448) and 3×3 (conv2/3: 448×448). 448 is divisible by 64 for tensor-core efficiency. Accuracy risk: exp_030 mean_acc ~96.01% with thin buffer; any capacity loss risks DQ.
037	2026-04-28T14:45:29Z	loss	030	030	loss	exp_030 base (43ep+lr=9): label_smoothing 0.2→0.15 (sharper targets, potential +accuracy margin) + skip all 10 remaining intermediate tta_level=0 evals (every-5-epoch→final-only, saves ~280ms wall-clock)	-0.28	disqualified		0.959720	0.001275	10		25.105500	cif-loss-0033		exp_026 confirmed 43ep+lr=9 passes gate at 0.9601 (barely). exp_030 reduced to eval-every-5 (10 calls). This trial removes those 10 tta_level=0 intermediate evals entirely (~280ms savings at ~28ms per eval). Simultaneously reduces label_smoothing 0.2→0.15: less smoothing → potentially sharper decision boundaries → small accuracy gain that could buffer against the eval reduction. ls=0.1 failed at 44ep+lr=9 in exp_002 (but combined with epoch reduction); ls=0.15 is more conservative and at 43ep should be safe.
038	2026-04-28T15:00:34Z	aug	030	030	aug	Skip all 42 intermediate per-epoch logging ops (train_acc.item, train_loss.item, val_acc eval, print) — only execute at final step: eliminates 9 remaining non-TTA evals + 84 GPU→CPU .item() sync stalls beyond exp_030's every-5-epoch schedule.	-0.45	preflight_crash				0					"infrastructure sync failure: Command '['ssh', '[internal host]', 'mkdir -p -- ""[internal path]""']' timed out after 60 seconds"
039	2026-04-28T15:01:49Z	aug	030	030	aug	Skip all 42 intermediate per-epoch logging ops (train_acc.item, train_loss.item, val_acc eval, print) — only execute at final step: eliminates 9 remaining non-TTA evals + 84 GPU→CPU .item() sync stalls beyond exp_030's every-5-epoch schedule.	-0.45	preflight_crash				0					"infrastructure sync failure: Command '['ssh', '[internal host]', 'mkdir -p -- ""[internal path]""']' timed out after 60 seconds"
040	2026-04-28T15:04:54Z	arch	030	030	arch	Block2 depth 3→2 with residual preserved (first-ever depth-2+residual trial): removes conv3+norm3 from block2 (384ch at 8×8 spatial, ~84M mult-adds/step saved) but keeps the shortcut connection, unlike all prior depth reductions which lost the residual too. Blocks 1 and 3 unchanged at depth=3; block3 width reverted to 512.	-1.0	preflight_crash				0			cif-arch-0038		All previous arch depth reductions (exp_019 block1, exp_024 block1+lr, exp_029 block3) were disqualified. Key structural insight: they all used depth=2 which has NO residual, simultaneously removing the conv AND the shortcut. This trial separates the two: removes conv3 from block2 but forces residual=True so gradient flow is preserved. Block2 (384ch, 8×8 resolution) is 2.5× more FLOP-expensive than block3 (512ch, 3×3), so saving one conv here has larger impact. The modified ConvGroup supports per-instance residual override without changing proxy (depth=2, residual=False unchanged) or blocks 1/3 (depth=3, residual=True by default).
041	2026-04-28T15:08:44Z	loss	030	030	loss	exp_030 base (43ep+lr=9+ls=0.20): remove final 10 intermediate tta_level=0 eval calls (every-5-epoch → final-TTA-only). Training dynamics identical to exp_030; saves ~280ms wall-clock from 10 non-TTA evaluate() calls that were still present in exp_030. Synchronize calls kept (unlike exp_034 which also removed those).	-0.28	disqualified		0.959660	0.001063	10		25.384000	cif-loss-0038		exp_037 already removed these evals but combined with label_smoothing=0.15 (disqualified). exp_034 removed evals+syncs and was also disqualified (likely noise or sync removal issue). This trial isolates just the eval-removal with ls=0.20 and keeps synchronize calls intact.
042	2026-04-28T15:08:45Z	reg	030	030	reg	42 epochs + weight_decay 0.012→0.015: airbench94 used WD=0.015 for its wide network; stronger regularization may improve generalization by ~0.002, compensating for 1 fewer epoch (43→42) while staying ≥0.960. Saves ~0.6s → expected train_s ~24.6s.	-0.6	disqualified		0.958440	0.001337	10		25.504500	cif-reg-0038		All EMA attempts failed (double-averaging over existing lookahead). WD=0.015 is the airbench94 tuned value for wide CIFAR networks. At 43 epochs with WD=0.012 acc=0.9601 (barely over gate). Hypothesis: WD boost provides +0.001-0.003 generalization gain to compensate the -1 epoch accuracy cost. Risk: acc might still fall below 0.960 at 42 epochs.
043	2026-04-28T15:09:48Z	opt	030	030	opt	Add Muon optimizer (Newton-Schulz orthogonalized updates, momentum=0.6) for all 4D conv weights in main model; SGD kept for biases/head/proxy. muon_lr=0.024 with same triangular schedule. Diagnostic: does orthogonalized gradient improve convergence quality at 43 epochs?	+0.3	disqualified		0.948240	0.001262	10		29.062300	cif-opt-0038		First Muon trial for airbench96. Muon splits conv params (4D, requires_grad) into separate optimizer from SGD biases/head. Newton-Schulz steps=3, a=3.4445, b=-4.7750, c=2.0315. Weight renormalization (norm = sqrt(C_out)) applied each step. No weight decay on Muon params (renorm acts as implicit magnitude control). Same triangular LR schedule applied to Muon via LambdaLR. Proxy unchanged (SGD only). Primary goal: confirm accuracy ≥ 0.96 at 43 epochs. If passes, next step: reduce epochs (muon converges faster) or tune muon_lr upward.
044	2026-04-28T15:15:54Z	arch	030	030	arch	Block2 depth 3→2 with residual preserved: removes conv3+norm3 from block2 (384ch, 8×8 spatial) but keeps shortcut via residual=True override; all other blocks unchanged at depth=3, block3 width=512.	-1.0	disqualified		0.959030	0.000873	10		24.147800	cif-arch-0041		exp_040 hit preflight timeout — simplified forward to always save x0 unconditionally (removes conditional tensor assignment that may have confused torch.compile). Code logic identical: depth=2+residual for block2, depth=3 for blocks 1&3, proxy unchanged.
