exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	core_metric	val_bpb	delta_vs_best	train_s	total_s	job_name	snapshot_path	notes
010	2026-04-28T06:28:49Z	sched	000	007	sched	Shorten warmdown from 65% to 20% of training (research-backed: optimal WSD decay phase should be brief) + revert LR warmdown to linear (D2Z): spend 80% of compute at peak LR instead of 35%.	+0.008	discard	0.157000	0.852154	-0.012500	752.906463	752.906463	nc-sche-0010		"arxiv 2602.06797: in hard-task regime, optimal WSD schedule ""maintains the largest admissible LR for most of training and decays only near the end, with the decay phase occupying a vanishing fraction of the horizon."" arxiv 2502.15938: linear D2Z consistently outperforms cosine decay. Current warmdown_ratio=0.65 means only 35% of training at peak LR — dramatically suboptimal. Changing to 0.20 gives 80% constant + 20% linear warmdown. Momentum schedule adapts automatically (stays at 0.97 longer). WD cosine schedule unchanged (naturally low during short warmdown, which is fine)."
011	2026-04-28T06:31:43Z	opt	007	007	opt	Adopt window-pattern=L (matching exp_007 best), revert lm_head betas to (0.8,0.96) (undo exp_008's harmful change), and fix x0_lambdas betas from (0.96,0.95) to (0.9,0.99): the original beta1>beta2 caused effective-LR to spike ~5.6x at step 1, destabilizing x0 blending in early training.	+0.008	discard	0.135000	0.845775	-0.034500	515.592560	515.592560	nc-opt-0010		Three-part change: (1) experiment.py window-pattern SSSL->L to get Flash SDPA backend on all layers (same as exp_007); (2) revert lm_head AdamW betas from exp_008's bad (0.9,0.99) back to baseline (0.8,0.96); (3) new opt change: x0_lambdas betas from anomalous (0.96,0.95) to standard (0.9,0.99). For (3): with beta1=0.96>beta2=0.95, bias_correction ratio sqrt(bias2)/bias1 starts at ~5.6x at step 1 and only normalizes after ~100 steps, causing large effective-LR spikes on x0_lambda values (which control per-layer x0-blending strength, init 0.05-0.20). Standard (0.9,0.99) has sqrt(bias2)/bias1 = 1.0 at step 1 and settles gracefully.
012	2026-04-28T06:35:15Z	arch	007	007	arch	Switch head-dim 128→64 (6 heads→12 heads, FLOP/param-neutral): more attention head diversity at 110M scale, matching GPT-2's head structure. Also aligns workdir to exp_007 state (window-pattern L, softcap 15, 0.4x c_fc init).	+0.003	discard	0.153800	0.845872	-0.015700	552.956049	552.956049	nc-arch-0010		head_dim=64 → n_head=12, n_kv_head=12. QKV param counts unchanged (768*768 per proj); value_embeds kv_dim=12*64=768 (same total). Smear gate and ve_gate channels unchanged. Rotary uses 32 cos/sin pairs (vs 64). exp_009 bad changes (softcap=20, full c_fc init, SSSL) reverted.
013	2026-04-28T06:45:29Z	sched	007	007	sched	Delay Muon WD decay to warmdown phase only: keep WD constant at WD_scaled during warmup+constant-LR, then cosine-decay to 0 during warmdown. Current cosine-over-all-training loses ~27% WD before warmdown even starts; this gives full regularization while LR is at peak, then relaxes WD together with LR during warmdown.	+0.003	discard	0.160600	0.845994	-0.008900	543.010660	543.010660	nc-sche-0012		Also rebases: reverts exp_010's --warmdown-ratio 0.20 back to 0.65 (baseline), and sets --window-pattern L (from exp_007). The sole new sched change is the delayed WD schedule in get_weight_decay(). Comparison is vs exp_007 (0.1695) which already had window-pattern=L + 65% warmdown.
014	2026-04-28T06:51:55Z	opt	007	007	opt	Revert x0_lambdas betas (0.9,0.99)→(0.96,0.95) to fix exp_011's -0.035 regression; also zero resid_lambdas weight_decay (was 0.05, decaying residual-scale factors toward 0 by ~25% over training).	+0.035	discard	0.162800	0.845160	-0.006700	541.595185	541.595185	nc-opt-0013		exp_007 snapshot shows x0_params had betas=(0.96,0.95) with comment 'higher beta1 for x0'. exp_011 changed these to (0.9,0.99) calling it a 'fix', causing core_metric to drop from 0.1695→0.135 (-0.0345). Reverting restores the baseline. Additional change: resid_lambdas weight_decay 0.05→0.0. At peak LR=0.005, WD rate is 0.00025/step; over ~2000 steps with average LR~0.5 that amounts to ~25% decay toward zero for resid_lambdas (initialized at 1.05–1.15). These are residual-stream scale factors and should not be regularized toward zero.
015	2026-04-28T06:55:24Z	arch	007	007	arch	Parallel residuals (PaLM-style): share pre-norm and add attn + MLP simultaneously instead of sequentially. Also reverts head_dim 64→128 (undoes discarded exp_012). Saves one RMSNorm per block, both sublayers see the same normalized input for cleaner gradient flow; c_proj zero-init keeps training start identical to sequential.	+0.004	discard	0.166000	0.855092	-0.003500	534.400374	534.400374	nc-arch-0013		Block.forward changed from two sequential pre-norm sublayers to one shared norm + simultaneous addition: normed_x = norm(x); x = x + attn(normed_x,...) + mlp(normed_x). Parameter count unchanged (same weight matrices). PaLM paper shows this works at scale; at 12 layers the key question is whether gradient flow improvement outweighs the loss of within-block sequential information refinement. experiment.py: --head-dim restored to 128 (6 heads) from 64 (12 heads) that exp_012 discarded.
016	2026-04-28T07:01:30Z	sched	007	007	sched	Revert WD to cosine-over-all (undo exp_013's harmful constant+warmdown-cosine) + hold Muon momentum constant at 0.97 during warmdown (no 0.97→0.90 decay): LR already decays 65% of training; simultaneous momentum decay reduces gradient history, adding noise when smooth convergence is needed.	+0.003	discard	0.163100	0.846013	-0.006400	542.589439	542.589439	nc-sche-0014		Two coordinated changes: (1) get_weight_decay reverted to baseline: weight_decay_scaled * 0.5 * (1 + cos(π*it/num_iterations)) — cosine decay over full training horizon, same as exp_007 which scored 0.1695. (2) get_muon_momentum: removed warmdown branch — momentum warms 0.85→0.97 over 400 steps then stays at 0.97 for all remaining training (including the 65% warmdown phase). Previously momentum decayed 0.97→0.90 during warmdown. Theoretical backing: during LR warmdown, lower momentum means each update relies more on the current (noisier) gradient rather than accumulated gradient direction. With LR already decaying to 5% of peak, keeping momentum high (0.97) should give smoother, more consistent parameter updates as LR decreases. experiment.py unchanged (window-pattern L from exp_007 baseline).
017	2026-04-28T07:09:12Z	arch	007	007	arch	Replace relu² MLP with SwiGLU (8/3 × hidden = 2048, same params as 4 × 768 relu²) on top of exp_007 base (sequential pre-norm, window-pattern=L). SwiGLU is dominant in modern LLMs; exp_002 tried it on SSSL (slow math backend) and got -0.002, but with L pattern all attention is on fast Flash SDPA so training dynamics differ.	+0.003	discard	0.164100	0.846357	-0.005400	554.509079	554.509079	nc-arch-0016		MLP param count identical: 3×768×2048 = 2×768×3072 = 4,718,592 per block. Block.forward reverted from exp_015's parallel residuals back to sequential pre-norm matching exp_007. init_weights updated to initialize c_gate weight at 0.4× scale alongside c_fc.
018	2026-04-28T07:15:35Z	opt	007	007	opt	Restore resid_lambdas WD=0.05 (exp_014 wrongly zeroed it; exp_007 best had 0.05) + reduce Muon NorMuon beta2 0.9→0.85 for faster variance adaptation during the long warmdown phase	+0.003	discard	0.156400	0.844954	-0.013100	541.183504	541.183504	nc-opt-0017		Two-part change: (1) resid_lambdas WD revert: exp_014 set WD=0.0 claiming 'decaying toward 0 hurts' but exp_014 scored 0.1628 vs exp_007's 0.1695 with WD=0.05, confirming WD=0.05 is better. Restoring it puts us back at exp_007 optimizer baseline. (2) NorMuon beta2=0.85 (vs 0.9 baseline): exp_003 tried 0.95 (more smoothing) and got -0.0019; trying the opposite direction (less smoothing, faster adaptation to changing variance) which hasn't been tested. With 65% warmdown, gradient statistics change rapidly and faster adaptation may help.
019	2026-04-28T07:16:57Z	sched	007	007	sched	True D2Z: reduce final-lr-frac from 0.05 to 0.0 — linear decay all the way to zero LR, backed by arxiv 2502.15938 showing D2Z consistently achieves lower loss than leaving a residual fraction at the end.	+0.003	discard	0.155800	0.845315	-0.013700	532.478242	532.478242	nc-sche-0017		Rebased to exp_007 (window-pattern=L, momentum 0.97→0.90 during warmdown, cosine WD). Only change: --final-lr-frac 0.05 → 0.0. The baseline get_lr_multiplier computes: progress * 1.0 + (1-progress) * final_lr_frac. With final_lr_frac=0 this simplifies to pure linear decay: LR = progress (1.0 at warmdown start → 0.0 at end). arxiv 2502.15938 proves this is optimal for a given token budget vs any residual-keeping variant.
020	2026-04-28T07:19:31Z	sys	007	007	sys	Exploit window=L speedup: increase --target-param-data-ratio from 12 to 100, training 8x more tokens within the 90 min wall budget. exp_007 (ratio=12, window=L) finished in only 9 min; scaling to ratio=100 gives ~60 min total — well within budget. More training tokens (8x Chinchilla) directly improves CORE metric.	+0.020	keep	0.202900	0.787406	+0.033400	3693.777823	3693.777823	nc-sys-0010	snapshots/020_sys	Auto-batch-size will scale to 2^20=1M tokens/step (batch_ratio=1M/524K=2, grad_accum=2). LR scales by sqrt(2)~1.41x automatically. WD scales down for longer run. Estimated training time: 421s * (100/12) ~ 3508s + 120s compile + ~700s extra eval = ~4330s ~ 72 min. Safe.
021	2026-04-28T07:31:35Z	data	000	020	data	Train 7.5x longer (target-param-data-ratio 12→90) to fill the ~80-min available compute budget; model used only ~6% of ClimbMix at ratio=12 and val_bpb was still dropping rapidly at end. Also reverts exp_005's harmful tail-recovery packing.	+0.05	discard	0.187200	0.789994	-0.015700	4834.963375	4834.963375	nc-data-0006		Exp_005 log shows training took only 8.96min (total wall 12.5min) for 2520 steps at ratio=12. At ratio=90 (~18900 steps), estimated ~80min total wall — well within 90-min cap. Val_bpb was still declining at step 2520 (0.874→0.851 in last 520 steps). ClimbMix-400B: model had only seen ~6% of unique training parquet data at ratio=12; ratio=90 covers ~45% with zero data repetition. Power-law extrapolation suggests val_bpb ~0.70 at step 18900 vs 0.851 at step 2520.
022	2026-04-28T07:33:12Z	arch	007	020	arch	GQA 2:1: reduce n_kv_head from 6→3 (num_heads//2) while keeping n_head=6. SDPA already handles GQA via enable_gqa=True. Forces 3 query-heads to share each KV-head (regularization), shrinks c_k/c_v ~7M params (→6% fewer training tokens, faster run), and reduces value_embed tables from kv_dim=768→384 (large VRAM saving).	+0.002	discard	0.141000	0.855195	-0.061900	510.994575	510.994575	nc-arch-0021		GQA is widely adopted in modern LLMs (LLaMA-3, Gemma, Mistral) for both inference efficiency and training regularization. At d12 scale with n_head=6, 2:1 GQA gives 2 query heads per KV group. The SDPA fallback path already correctly sets enable_gqa=True when q.size(1)!=k.size(1). Value embeddings automatically shrink (kv_dim=3*128=384 vs 768), saving ~100M embedding params from VRAM. Change is a single line in build_model_meta. Baseline gpt.py (relu^2 MLP) restored via rebase to exp_007.
023	2026-04-28T07:37:23Z	opt	007	020	opt	Fix asymmetric Muon LR scaling: wide matrices (MLP c_proj 768×3072) got only 1× LR while tall matrices (c_fc 3072×768) got 2×; change to (max_dim/min_dim)^0.5 for all shapes, equalising per-element update magnitude across Q/K/V/O (sq), c_fc (tall), and c_proj (wide).	+0.004	discard	0.152300	0.845211	-0.050600	531.620092	531.620092	nc-opt-0021		After polar-express orthogonalisation, the per-element Frobenius magnitude for an (m,n) matrix is proportional to 1/sqrt(max(m,n)). The symmetric formula (max/min)^0.5 compensates identically for tall and wide matrices. The old formula max(1.0, rows/cols)^0.5 only compensated tall matrices, leaving MLP c_proj (768×3072, 28M params = 1/3 of transformer matrices) trained at ~2× lower effective per-element LR. NorMuon variance reduction normalises within each shape group but not between groups, so the inter-shape asymmetry persists through to the parameter update.
024	2026-04-28T08:41:37Z	sys	020	020	sys	Push ratio from 100→130 (30% more tokens), using remaining wall budget. exp_020 (ratio=100) ran in 61 min; ratio=130 estimated ~80 min, within the 90 min cap. Continuing to exploit the efficient window=L Flash-SDPA path for maximum CORE metric improvement.	+0.005	keep	0.213900	0.783523	+0.011000	4808.915381	4808.915381	nc-sys-0021	snapshots/024_sys	batch_size stays at 2^20=1M (ratio=130 still predicts ~1.2M which rounds to 1M). grad_accum=2. Estimated train_s: 3693*(130/100)=4801s~80min. With 10min buffer for variance/eval overhead.
025	2026-04-28T08:44:49Z	sched	020	024	sched	Push --target-param-data-ratio from 100→130 on top of exp_020 (window=L, ratio=100, 0.2029): 30% more training tokens within the 90-min budget. For d12 D_REF==target_tokens so batch size stays 2^19; num_iterations scales linearly to ~27,274 steps. Estimated wall ~78 min (safe). More tokens should directly improve CORE metric further along the still-improving loss curve.	+0.010	keep	0.224100	0.783477	+0.010200	4760.853630	4760.853630	nc-sche-0021	snapshots/025_sched	Only change from exp_020: --target-param-data-ratio 100→130. All schedules (warmdown-ratio=0.65, warmup-steps=40, final-lr-frac=0.05, cosine WD, momentum warmup 400 steps) unchanged. Timing estimate: ratio scales linearly at fixed batch size (D_REF==target_tokens for d12), so 130/100 × 60 min ≈ 78 min total (plus 3 extra CORE evals at 2000-step cadence).
026	2026-04-28T08:48:17Z	arch	020	025	arch	Enable value embeddings (ResFormer-style) on ALL 12 layers instead of alternating 6. has_ve() now returns True unconditionally, doubling VE coverage with negligible compute overhead: matmul FLOPs and training iterations are unchanged (VE params excluded from scaling_params), only embedding lookups add cost. Gives every layer direct access to token-level residuals, potentially alleviating attention concentration in odd layers that previously lacked VEs.	+0.008	discard	0.205800	0.783600	-0.018300	3768.851951	3768.851951	nc-arch-0024		ResFormer (arxiv 2410.17897, ACL 2025) shows value residuals help maintain token information in deeper layers. Current alternating pattern was a memory trade-off; 12 VE tables at kv_dim=384 adds ~150MB per rank, well within GPU 80GB budget. All 12 blocks now get ve_gate (Linear(12,3)) and an embedding table (vocab_size×384), covered by the existing optimizer parameter groups. Training horizon and step cost unchanged vs exp_020.
027	2026-04-28T08:52:35Z	opt	020	025	opt	Rebase to ratio=100 (longer training), revert Muon LR formula to asymmetric (fix exp_023's harmful symmetric change), and increase NorMuon beta2 from exp_020's 0.9 to 0.95 for smoother per-neuron variance adaptation over the ~20k-step training horizon at ratio=100.	+0.002	discard	0.203600	0.787457	-0.020500	3690.674732	3690.674732	nc-opt-0024		Three changes vs current workdir: (1) experiment.py ratio 12→100 (match exp_020 long-training config), (2) optim.py: revert both MuonAdamW and DistMuonAdamW LR scaling from symmetric (max/min)^0.5 back to asymmetric max(1, rows/cols)^0.5 — exp_023 tested symmetric and scored 0.1523 vs exp_020's 0.2029, confirming asymmetric is better, (3) gpt.py: NorMuon beta2 0.85→0.95 — exp_020 used 0.9, exp_003 tested 0.9→0.95 at ratio=12 and saw only -0.002 (within noise); at ratio=100 with ~20k steps the 20-step EMA window (beta2=0.95) vs 10-step (0.9) may reduce noise in per-neuron scale estimates across the long training horizon.
028	2026-04-28T08:55:07Z	data	020	025	data	Increase target-param-data-ratio from 100→130 on top of exp_020's window=L base: 30% more training tokens, estimated ~78 min wall (exp_020 at ratio=100 finished in ~60 min).	+0.01	discard	0.214600	0.783530	-0.009500	4821.896324	4821.896324	nc-data-0023		exp_020 (window=L, ratio=100) took ~60 min and scored 0.2029. Val_bpb still declines at end of training so more steps should help. ratio=130 adds 30% more unique ClimbMix tokens (~18900→~24570 steps). Timing: 60min * (130/100) = 78min, safely under 90-min cap. Only change vs exp_020: ratio 100→130.
029	2026-04-28T10:06:14Z	sys	024	025	sys	Push ratio 130→150 (+15% tokens) by freeing wall budget via: (a) device-batch-size 32→64 reducing grad_accum 2→1 (~2-4% throughput gain), (b) disabling mid-training BPB evals (eval-every=-1), (c) skipping ~7 mid-training CORE evals (core-metric-every=99999, final CORE still fires at last_step=True). Explicit total-batch-size=1048576 avoids divisibility assert.	+0.008	discard	0.202100		-0.022000	4379.195427	4379.195427	nc-sys-0027		exp_024 train_s=4809s=80.1min at ratio=130. Linear scaling gives ratio=150 at ~92min; saved eval/grad_accum overhead (~5-8min) brings it within 90min cap. LR/WD scaling unchanged (total_batch_size=1M same as exp_024 auto-value). val_bpb will be None (eval disabled, acceptable for scoring).
030	2026-04-28T10:13:37Z	sched	025	025	sched	Align LR warmup with Muon momentum warmup: increase --warmup-steps from 40 to 400. At ratio=130 (~27,274 steps), 40-step warmup is only 0.15% of training (was 1.6% at ratio=12). Steps 40-400 currently have full LR but still-ramping Muon momentum (0.85→0.97 over hardcoded 400 steps) — a 360-step LR/momentum mismatch. Setting warmup=400 aligns both, provides standard ~1.5% warmup, and should reduce early-training instability from mismatched optimizer state.	+0.003	discard	0.192400	0.784352	-0.031700	4756.274802	4756.274802	nc-sche-0027		Single flag change: --warmup-steps 40→400. No code edits. The Muon momentum schedule in get_muon_momentum() has a hardcoded 400-step ramp from 0.85→0.97. At ratio=130 (27k steps), the LR was hitting 100% at step 40 while momentum was still at 0.93 — mismatch for 360 steps. Aligning warmup to 400 steps means LR and momentum ramp together. All other hyperparameters unchanged (warmdown-ratio=0.65, final-lr-frac=0.05, target-param-data-ratio=130, window=L).
031	2026-04-28T10:27:02Z	arch	025	025	arch	Add learnable U-net skip connection from layer n//4=3 to layer 3n//4=9 (unet_lambda, zero-init=no-op at start). Inspired by modded-nanogpt's block-3→block-9 U-net pattern: gives late layers direct access to early-middle features. Adds 1 scalar parameter trained with AdamW.	+0.005	discard	0.202100	0.784013	-0.022000	4776.170423	4776.170423	nc-arch-0029		Rebased to exp_025 (0.2241) — reverts exp_026's harmful all-VE change. Only arch change: add self.unet_lambda (init=0) and inject x_unet (output of block 3) into block 9's pre-block input. All other architecture identical to exp_025. Motivated by modded-nanogpt's U-net residuals showing blocks 3→6 style skips improve quality. Zero init makes this strictly risk-free at start; model can learn to ignore it (lambda→0) if not useful.
032	2026-04-28T10:31:06Z	data	025	025	data	Push --target-param-data-ratio from 130→155 (+19% tokens) and disable --eval-every (reclaims ~7 min of val_bpb overhead for actual training). Rebased on exp_025. Est. ~84 min wall: 73 min training + 3 min compile + 8 min CORE evals.	+0.010	discard	0.204700		-0.019400	4882.551285	4882.551285	nc-data-0029		Training longer is consistently beneficial at d12 scale (400B dataset, only ~4% seen at ratio=155). Val_bpb eval was consuming ~7 min of the 90-min wall budget without affecting training quality or CORE metric scoring. By disabling it (--eval-every -1), 19% more tokens (ratio 130→155) fits within the budget. Log-linear extrapolation from the ratio=100→130 improvement (+0.0212) predicts +0.010–0.015 for ratio=130→155.
033	2026-04-28T10:36:35Z	opt	025	025	opt	On top of exp_025 config (ratio=130, Muon beta2=0.9): increase --unembedding-lr from 0.008 to 0.010 (+25%). The lm_head (768→32768) has been at 0.008 since baseline; at 27k steps the internal representations are well-trained and a slightly higher LR for the vocabulary projection may improve calibration without instability.	+0.003	discard	0.202700	0.783534	-0.021400	4715.751717	4715.751717	nc-opt-0029		Two edits from current opt workdir: (1) gpt.py: reverted Muon beta2 0.95→0.9 (matching exp_025 baseline). (2) experiment.py: ratio 100→130 and unembedding-lr 0.008→0.010. Net diff vs exp_025: only unembedding-lr changes (0.008→0.010). This is the first explicit test of unembedding-lr in the experiment history.
034	2026-04-28T11:39:35Z	sys	024	025	sys	Disable mid-training evals (eval-every=-1, core-metric-every=99999) to reclaim ~17 min of overhead, then use that budget to push ratio 130→170 (+31% tokens). exp_029 revealed auto batch=524K for d12; without evals, ratio=150 at batch=524K costs ~73 min; ratio=170 estimated ~85 min total (final CORE at last_step still fires via last_step=True).	+0.012	discard	0.210500		-0.013600	5178.580932	5178.580932	nc-sys-0030		exp_029 (batch=1M, ratio=150, no evals) ran 73 min. Same FLOP budget at batch=524K = same wall. Implies exp_024's 80 min includes ~17 min eval overhead (63 BPB + 8 mid-CORE evals). With evals off: pure_train(ratio=170) = 4379*170/150 = 4963s + ~100s final CORE = ~85 min, 5 min under cap. LR/WD unchanged (batch_lr_scale=1.0 at auto batch=524K).
035	2026-04-28T11:46:35Z	sched	025	025	sched	Push --target-param-data-ratio from 130→140 (+7.7% more tokens) on top of exp_025 baseline: revert exp_030's broken warmup-steps=400 back to 40, and extend training. Timing: ~86 min estimated (ratio=130 ran ~80 min in exp_024). Linear token-scaling suggests ~+0.005 core_metric improvement.	+0.005	discard	0.220800	0.782532	-0.003300	5082.395729	5082.395729	nc-sche-0031		Two changes vs current workdir (both return to or build on exp_025 state): (1) warmup-steps 400→40 (reverting exp_030's discard; exp_025 used 40), (2) target-param-data-ratio 130→140. The ratio increase is the actual hypothesis. exp_029 (sys) tried ratio=150 but also changed device-batch-size (confound); this trial cleanly tests ratio=140 with the correct exp_025 settings. Batch size stays at 2^19=524,288 (d12 D_REF==target_tokens so B_opt=B_REF regardless of ratio). num_iterations scales to ~29,371 steps. Warmdown stays at 65% (17,728→19,091 warmdown steps). WD cosine schedule and Muon momentum unchanged.
036	2026-04-28T12:00:38Z	arch	025	025	arch	Replace hardcoded QK scale 1.2 with learnable per-layer per-head qk_scales (12×6=72 scalars, init=1.2): different layers and heads learn their optimal attention temperature. Starting at 1.2 makes early training identical to baseline; model discovers better sharpness per head/layer over training.	+0.005	discard	0.200000	0.783645	-0.024100	4832.036069	4832.036069	nc-arch-0034		Research (Selective Attention, adaptive temperature papers) shows per-head temperature scaling improves LM performance. The hardcoded 1.2 was a TODO in the code; making it learnable is low-risk (starts identical, 72 negligible extra scalars in AdamW smear_params group at lr=0.2). qk_scales[i] is passed through Block.forward to CausalSelfAttention.forward and broadcast over (B,T,n_head,head_dim). num_scaling_params and estimate_flops updated to exclude qk_scales from matmul param count.
